error,model
0.4242,error_HSGS
0.4242,error_HSGS
0.4242,error_HSGS
0.4242,error_HSGS
0.4242,error_HSGS
0.4242,error_HSGS
0.4242,error_HSGS
0.4242,error_HSGS
0.4242,error_HSGS
0.4242,error_HSGS
0.5455,error_encoding_weight
0.5455,error_encoding_weight
0.4545,error_encoding_weight
0.4394,error_encoding_weight
0.4697,error_encoding_weight
0.5152,error_encoding_weight
0.5455,error_encoding_weight
0.5152,error_encoding_weight
0.5455,error_encoding_weight
0.5152,error_encoding_weight
0.5152,error_encoding_input
0.4394,error_encoding_input
0.5152,error_encoding_input
0.4394,error_encoding_input
0.4848,error_encoding_input
0.4697,error_encoding_input
0.5303,error_encoding_input
0.6364,error_encoding_input
0.5758,error_encoding_input
0.5303,error_encoding_input
0.5606,error_phase_encoding
0.5758,error_phase_encoding
0.4394,error_phase_encoding
0.5455,error_phase_encoding
0.6212,error_phase_encoding
0.4545,error_phase_encoding
0.5152,error_phase_encoding
0.5152,error_phase_encoding
0.6061,error_phase_encoding
0.4394,error_phase_encoding
