,model,phase_strategy,bias,threshold,lr,avg_error,trained_weights,initial_weights,neuron_outputs
0,HSGS,original,False,0.1,0.02,0.0,"[0.07630828937395717, 0.7799187922401146]","[0.07630828937395717, 0.7799187922401146]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
1,HSGS,original,True,0.1,0.02,0.75,"[0.4763082893739573, 1.1799187922401149, 1.4000000000000004, 1.4000000000000004]","[0.07630828937395717, 0.7799187922401146]","[0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1]"
2,HSGS,original,False,0.1,0.1,0.0,"[0.07630828937395717, 0.7799187922401146]","[0.07630828937395717, 0.7799187922401146]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
3,HSGS,original,True,0.1,0.1,0.75,"[2.0763082893739577, 2.779918792240116, 3.0000000000000018, 3.0000000000000018]","[0.07630828937395717, 0.7799187922401146]","[0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1]"
4,HSGS,original,False,0.3,0.02,0.0,"[0.07630828937395717, 0.7799187922401146]","[0.07630828937395717, 0.7799187922401146]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
5,HSGS,original,True,0.3,0.02,0.25,"[0.4763082893739573, 1.1799187922401149, 0.5999999999999996, 0.5999999999999996]","[0.07630828937395717, 0.7799187922401146]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
6,HSGS,original,False,0.3,0.1,0.0,"[0.07630828937395717, 0.7799187922401146]","[0.07630828937395717, 0.7799187922401146]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
7,HSGS,original,True,0.3,0.1,0.25,"[0.17630828937395723, 0.8799187922401146, -1.0999999999999999, -1.0999999999999999]","[0.07630828937395717, 0.7799187922401146]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
8,HSGS,original,False,0.5,0.02,0.0,"[0.07630828937395717, 0.7799187922401146]","[0.07630828937395717, 0.7799187922401146]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
9,HSGS,original,True,0.5,0.02,0.25,"[0.4763082893739573, 1.1799187922401149, 0.5999999999999996, 0.5999999999999996]","[0.07630828937395717, 0.7799187922401146]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
10,HSGS,original,False,0.5,0.1,0.0,"[0.07630828937395717, 0.7799187922401146]","[0.07630828937395717, 0.7799187922401146]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
11,HSGS,original,True,0.5,0.1,0.25,"[0.17630828937395723, 0.8799187922401146, -1.0999999999999999, -1.0999999999999999]","[0.07630828937395717, 0.7799187922401146]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
